,title,teacher,time,code,credit,Q,content
0,エレクトロニクスの基礎,宮本 恭幸,金1-2(W541)  ,EEE.G291,1,2,"本科目は，電子工学に関しその基礎概念を学ぶ。交流回路，半導体工学，電子回路，コンピュータ，集積回路，無線通信の基礎とその相互関連について概観する。
これらを通じて，電気・電子回路における複素表現の工学的な有用性と使用方法，固体や半導体の基本的な現象と性質，コンピュータの原理とそれを実現する集積回路技術の概要，無線通信技術の基本を理解することで，電子工学の重要な概念と，現代の電子デバイスや電子機器の基本構成および基本動作原理の知識を獲得することを目的とする。"
1,材料力学 A,轟 章,木3-6(S222)  ,MEC.C201,2,2,"本講義では，機械の強度設計に必要となる材料の力学特性を扱うとともに，機械を構成する材料が外力を受けた場合の力学的応答について講義する．まず，材料の力学特性、応力とひずみの関係について説明し，許容応力と安全率の考え方を取り上げる．次に，材料が引張り・圧縮，ねじり，曲げを受けた場合の力学応答について説明する．最後に，弾性ひずみエネルギを利用して材料に生じている未知の変形量と作用している外力を求める方法について紹介する．
機械を構成する強度部材には運転時に引張・圧縮，ねじり，曲げなどの外力が作用するが，部材はこれらの力に耐えうる材質，形状・寸法にしておく必要がある．本講義では，機械を構成する材料の外力に対する力学応答についての基礎知識を修得させ，機械を構成する部材の強度設計の必要性とその方法を理解させることをねらいとしている．"
2,機械要素設計,武田 行生,"金5-8(石川台3号館302,303,310号室,S011)  ",MEC.H211,2,2,"機械システムに用いられる要素の設計・選定時に考慮すべき基本的な機械的特性に関する知識を修得する．具体的に，機械システムにおける基本的な機械要素として軸・ねじ・軸受・歯車などを取り上げて，個々の機械要素の機能・種類・特徴・利用方法および設計時に留意すべき点について講述するとともに，単純モデルの作成および力学計算などを通じ，設計仕様を満足するための機械要素の選定手法，機械的強度に基づく設計手法を修得する．さらに，その機械要素を三次元CADを用いて表現する方法を修得する．
これにより，機械設計における機械材料の選定，機械要素の選定および強度に基づく設計に関する基本的考え方と具体的手法が身に付くことになる．"
3,熱力学（機械） B,村上 陽一,月5-8(I121)  ,MEC.E201,2,2,熱力学は機械工学における重要な専門分野であり、地球環境問題やエネルギー・資源問題を工学的に扱う上でも根幹をなす学問であるため、本講義は機械工学で最初に学ぶべき必須科目として位置づけられます。講義では、熱、仕事、化学エネルギーなどが関与する系の諸現象や、それに関わる物理法則のポイントを学び、理解を深めるための演習時間も設けます。
4,熱力学（機械） A,村上 陽一,月5-8(H121)  ,MEC.E201,2,2,熱力学は機械工学における重要な専門分野であり、地球環境問題やエネルギー・資源問題を工学的に扱う上でも根幹をなす学問であるため、本講義は機械工学で最初に学ぶべき必須科目として位置づけられます。講義では、熱、仕事、化学エネルギーなどが関与する系の諸現象や、それに関わる物理法則のポイントを学び、理解を深めるための演習時間も設けます。
5,ロボット機構学 A,武田 行生,火1-4(S222)  ,MEC.I211,2,3,"ロボットは、回転や直進などの関節を複数連結し、必要とされる柔軟かつ高精度な運動を実現している。本科目では，このようなロボットの運動を実現するための基礎科目として、次の点を中心に講義する。
1. ロボットの仕組み（機構）の構造およびその自由度
2. ロボットの機構の運動（変位・速度・加速度）の解析法とその応用
3. ロボットの機構の力の解析法とその応用
4. ロボットの機構構造の総合法（設計法）とその応用
5. 基本的な機構の種類とその特性
6. 駆動部に用いられている減速機等の歯車機構の構造とその減速比の計算方法
上記の内容は、実物を触って考え理解する方法、直感的な理解を得るために図を描いて考え理解する方法、式を用いて理論的・解析的に考え理解する方法からなる。これにより，ロボットの設計における概念設計，基本設計（構造の設計），既存のロボットの改善のための基本的な運動特性の把握およびロボット機構の特性を考慮した軌道設計の基本的な考え方と知識が身に着くことになる．"
6,工業力学 A,大熊 政明,水1-4(I121)  ,MEC.A201,2,1,"機械工学（機械系）の分野に進んだ学生を主な対象としてその専門の各種の応用力学への導入科目として次の点を中心に講義する．
1. 静力学(質点と剛体，力のモーメントなど)
2. 質点の動力学(相対運動，コリオリの加速度など)
3. 剛体の動力学(慣性モーメント，角運動量，慣性テンソル，ジャイロ効果など)
本講義の特筆すべきねらいは，学部１年時で全学的科目である力学基礎で学習した理解を補強し，力学が特に重要な機械工学専門の学生としてしっかりと具体的な力学問題を理論的および数値計算で解く実力をつけさせることである．"
7,機械系基礎実験 A,各 教員,"金1-4(石川台1号館204,253号室)  ",MEC.P211,1,3,"本授業科目では，機械工学分野の中でも材料力学・熱力学・機械力学・流体力学に関する最も基礎的な事項を演習と実験を通じて学習し，機械系の必修科目の講義で学習した事項の理解を深める．実験では，「材料の引張変形と破壊」，「熱電発電と熱サイクルのエネルギー変換効率」，「1・2自由度系の自由振動」，「流体のエネルギー保存と流れの可視化」を行う．
演習と実験を通して学ぶべき内容は，次の通りである．5～8の項目については，初歩的な事項を扱う．
1. 材料の引張変形と破壊
2. 熱電発電と熱サイクルのエネルギー変換効率
3. 1・2自由度系の自由振動
4. 流体のエネルギー保存と流れの可視化
5. 実験レポートの作成方法
6. 課題設定力，実践力および解決力
7. データ収集・処理方法
8. 考察の仕方"
8,工業力学 B,大熊 政明,水1-4(I123)  ,MEC.A201,2,1,"機械工学（機械系）の分野に進んだ学生を主な対象としてその専門の各種の応用力学への導入科目として次の点を中心に講義する．
1. 静力学(質点と剛体，力のモーメントなど)
2. 質点の動力学(相対運動，コリオリの加速度など)
3. 剛体の動力学(慣性モーメント，角運動量，慣性テンソル，ジャイロ効果など)
本講義の特筆すべきねらいは，学部１年時で全学的科目である力学基礎で学習した理解を補強し，力学が特に重要な機械工学専門の学生としてしっかりと具体的な力学問題を理論的および数値計算で解く実力をつけさせることである．"
9,機械力学 A,大熊 政明,火5-8(I121)  ,MEC.D201,2,3,"【講義の概要】
機械力学の基本事項である一自由度系振動系の振動特性(固有振動数，周波数応答，共振等)，および，二自由度振動系の振動解析法について講義する．

【ねらい】
機械に発生する工学的および感性的に重要なさまざま振動を分類し，最も基礎である1自由度モデルから多自由度系の基礎としての2自由度モデルまでの基礎的振動解析法を修得し，未知の振動問題を解く能力を養う．"
